,user_id,aisle_id
0,100071,"set(['123', '38', '14', '16', '42', '37', '115', '2', '67', '83', '107'])"
1,100108,"set(['120', '128', '52', '84', '24'])"
2,100160,"set(['13', '23', '86', '45', '36', '121', '3', '123', '83', '91', '69', '93', '106', '107', '105'])"
3,100285,"set(['31', '98', '130', '116', '83', '81', '74'])"
4,10029,"set(['24', '86', '21', '36'])"
5,10031,"set(['59', '49', '99', '121', '108', '116', '83', '84'])"
6,100370,"set(['24', '26', '31', '53', '115', '110', '91', '83', '106'])"
7,100412,"set(['24', '77', '13', '38', '48', '96', '78', '26', '53', '36', '120', '91', '88', '4', '112', '128', '52', '106', '107', '98', '65'])"
8,100439,"set(['24', '120', '115', '61', '83', '78'])"
9,10050,"set(['24', '83', '116'])"
10,100535,"set(['24', '83', '131'])"
11,100582,"set(['31', '45', '53', '98', '108', '84'])"
12,100613,"set(['3', '123', '17'])"
13,100626,set(['24'])
14,10075,"set(['120', '26', '77', '16', '36', '52', '115', '98', '123', '110', '83', '100'])"
15,100805,"set(['1', '24', '61'])"
16,100848,"set(['13', '31', '120', '129', '86', '84'])"
17,100948,"set(['115', '31', '37'])"
18,1011,"set(['24', '77', '59', '17', '31', '45', '120', '98', '66', '112', '83', '67'])"
19,101167,"set(['24', '88', '115', '3', '91', '83'])"
20,101199,"set(['24', '32', '123', '83'])"
21,101238,"set(['24', '16', '19', '49', '115', '91', '3', '123', '4', '9', '83', '92', '107'])"
22,101286,"set(['83', '89', '64', '21', '16'])"
23,101370,"set(['24', '77', '21'])"
24,101393,"set(['84', '37', '4', '53'])"
25,101406,"set(['24', '38', '21', '23', '86', '36', '91', '131', '123', '4', '112', '9', '83', '106', '107', '79', '96'])"
26,10141,"set(['24', '106', '84', '53'])"
27,101421,set(['115'])
28,101437,"set(['24', '120', '38', '21', '99', '34', '115', '61', '75', '123', '4', '9', '83', '86', '84'])"
29,101439,set(['31'])
30,101478,"set(['24', '83', '45', '84'])"
31,101505,"set(['24', '86'])"
32,101535,"set(['83', '32', '123', '36', '112'])"
33,101560,"set(['115', '24', '59'])"
34,101697,"set(['120', '19', '123', '94', '24'])"
35,101727,"set(['120', '32', '67', '107', '50'])"
36,101756,"set(['96', '86', '36', '112'])"
37,101796,"set(['115', '19'])"
38,101806,"set(['37', '88', '106', '64', '61'])"
39,101850,"set(['82', '26', '31'])"
40,101852,"set(['115', '83', '122', '116'])"
41,101875,"set(['69', '123', '86', '84'])"
42,101880,"set(['83', '59', '123', '37', '61'])"
43,101946,"set(['24', '25', '122', '123', '116', '83'])"
44,101966,"set(['31', '45', '98', '91', '93', '96'])"
45,101970,"set(['24', '91', '123', '86'])"
46,101997,"set(['83', '49', '16'])"
47,102033,"set(['24', '58', '86', '123', '67', '8', '106'])"
48,102064,set(['32'])
49,102081,"set(['24', '77', '26', '31', '88', '120', '121', '117', '123', '112', '83', '84'])"
50,10211,"set(['24', '83', '108', '3'])"
51,102115,"set(['24', '88'])"
52,10215,"set(['24', '50', '131', '123', '83', '86'])"
53,10218,"set(['24', '59', '16', '120', '112', '86', '84'])"
54,102210,"set(['121', '26', '93'])"
55,102233,set(['65'])
56,102262,"set(['24', '17', '49', '31', '34', '99', '98', '112', '83', '100', '86', '107'])"
57,102272,"set(['24', '13', '106', '84'])"
58,102298,"set(['120', '24', '110', '53', '21'])"
59,102313,"set(['24', '21', '120', '83', '129', '86', '96'])"
60,102352,set(['35'])
61,10238,"set(['24', '38', '83', '52', '115', '123', '84', '67', '69', '79'])"
62,102416,"set(['17', '37', '52', '123', '72', '91', '100'])"
63,102568,"set(['59', '86', '94', '77', '61', '130', '116', '83', '129', '106', '107', '84'])"
64,102638,"set(['24', '120', '26', '38', '115', '123', '67', '107', '78'])"
65,102662,set(['77'])
66,102666,"set(['83', '81', '2', '64', '43'])"
67,102669,"set(['115', '77'])"
68,102707,"set(['24', '84', '21', '53', '112'])"
69,102724,"set(['24', '120', '21', '115', '83', '84'])"
70,102727,"set(['24', '14', '16', '120', '63', '83'])"
71,102912,"set(['24', '21', '120', '89', '83', '84', '78'])"
72,102919,"set(['24', '16', '37', '53', '115', '9', '83', '86'])"
73,102958,"set(['24', '111'])"
74,102988,"set(['21', '88', '120', '3', '112', '83', '84', '96'])"
75,103048,"set(['24', '61', '123', '91', '83', '79'])"
76,103078,"set(['1', '64', '37', '91'])"
77,10312,"set(['24', '123', '84', '112'])"
78,103137,"set(['120', '37', '86', '45', '119'])"
79,103190,"set(['115', '120', '96', '24', '112'])"
80,103342,set(['24'])
